"TimeInt";"TimeStr";"IsInitValue";"Value";"IQuality"
1596074419;"30/07/2020 02:00:19";0;967145.9;3
1596074449;"30/07/2020 02:00:49";0;967148.9;3
1596074479;"30/07/2020 02:01:19";0;967151.9;3
1596074509;"30/07/2020 02:01:49";0;967155.1;3
1596074539;"30/07/2020 02:02:19";0;967158.5;3
1596074569;"30/07/2020 02:02:49";0;967161.9;3
1596074599;"30/07/2020 02:03:19";0;967165.2;3
1596074629;"30/07/2020 02:03:49";0;967168.6;3
1596074659;"30/07/2020 02:04:19";0;967172;3
1596074689;"30/07/2020 02:04:49";0;967175.4;3
1596074719;"30/07/2020 02:05:19";0;967178.8;3
1596074749;"30/07/2020 02:05:49";0;967182.1;3
1596074779;"30/07/2020 02:06:19";0;967185.4;3
1596074809;"30/07/2020 02:06:49";0;967188.7;3
1596074839;"30/07/2020 02:07:19";0;967192;3
1596074869;"30/07/2020 02:07:49";0;967195.3;3
1596074899;"30/07/2020 02:08:19";0;967198.6;3
1596074929;"30/07/2020 02:08:49";0;967201.6;3
1596074959;"30/07/2020 02:09:19";0;967204.5;3
1596074989;"30/07/2020 02:09:49";0;967207.2;3
1596075019;"30/07/2020 02:10:19";0;967209.8;3
1596075049;"30/07/2020 02:10:49";0;967212.4;3
1596075079;"30/07/2020 02:11:19";0;967214.9;3
1596075109;"30/07/2020 02:11:49";0;967217.5;3
1596075139;"30/07/2020 02:12:19";0;967220.1;3
1596075169;"30/07/2020 02:12:49";0;967222.6;3
1596075199;"30/07/2020 02:13:19";0;967225.5;3
1596075229;"30/07/2020 02:13:49";0;967228.4;3
1596075259;"30/07/2020 02:14:19";0;967231.4;3
1596075289;"30/07/2020 02:14:49";0;967234.4;3
1596075319;"30/07/2020 02:15:19";0;967237.3;3
1596075349;"30/07/2020 02:15:49";0;967240.2;3
1596075379;"30/07/2020 02:16:19";0;967243;3
1596075409;"30/07/2020 02:16:49";0;967245.8;3
1596075439;"30/07/2020 02:17:19";0;967248.6;3
1596075469;"30/07/2020 02:17:49";0;967251.3;3
1596075499;"30/07/2020 02:18:19";0;967256.1;3
1596075529;"30/07/2020 02:18:49";0;967262.1;3
1596075559;"30/07/2020 02:19:19";0;967266.7;3
1596075589;"30/07/2020 02:19:49";0;967270.6;3
1596075619;"30/07/2020 02:20:19";0;967274.1;3
1596075649;"30/07/2020 02:20:49";0;967277.3;3
1596075679;"30/07/2020 02:21:19";0;967280.4;3
1596075709;"30/07/2020 02:21:49";0;967283.5;3
1596075739;"30/07/2020 02:22:19";0;967286.4;3
1596075769;"30/07/2020 02:22:49";0;967289.2;3
1596075799;"30/07/2020 02:23:19";0;967291.8;3
1596075829;"30/07/2020 02:23:49";0;967294.4;3
1596075859;"30/07/2020 02:24:19";0;967297;3
1596075889;"30/07/2020 02:24:49";0;967299.8;3
1596075919;"30/07/2020 02:25:19";0;967302.8;3
1596075949;"30/07/2020 02:25:49";0;967305.9;3
1596075979;"30/07/2020 02:26:19";0;967309.1;3
1596076009;"30/07/2020 02:26:49";0;967312.2;3
1596076039;"30/07/2020 02:27:19";0;967315.3;3
1596076069;"30/07/2020 02:27:49";0;967318.4;3
1596076099;"30/07/2020 02:28:19";0;967321.6;3
1596076129;"30/07/2020 02:28:49";0;967324.7;3
1596076159;"30/07/2020 02:29:19";0;967327.8;3
