"TimeInt";"TimeStr";"IsInitValue";"Value";"IQuality"
1596074419;"30/07/2020 02:00:19";0;26.97158;3
1596074449;"30/07/2020 02:00:49";0;27.96474;3
1596074479;"30/07/2020 02:01:19";0;30.14275;3
1596074509;"30/07/2020 02:01:49";0;31.00741;3
1596074539;"30/07/2020 02:02:19";0;30.98563;3
1596074569;"30/07/2020 02:02:49";0;31.09889;3
1596074599;"30/07/2020 02:03:19";0;31.04226;3
1596074629;"30/07/2020 02:03:49";0;31.13156;3
1596074659;"30/07/2020 02:04:19";0;31.09889;3
1596074689;"30/07/2020 02:04:49";0;30.8898;3
1596074719;"30/07/2020 02:05:19";0;30.70467;3
1596074749;"30/07/2020 02:05:49";0;30.54132;3
1596074779;"30/07/2020 02:06:19";0;30.50647;3
1596074809;"30/07/2020 02:06:49";0;30.64368;3
1596074839;"30/07/2020 02:07:19";0;30.57399;3
1596074869;"30/07/2020 02:07:49";0;29.31075;3
1596074899;"30/07/2020 02:08:19";0;28.11503;3
1596074929;"30/07/2020 02:08:49";0;26.13305;3
1596074959;"30/07/2020 02:09:19";0;24.32749;3
1596074989;"30/07/2020 02:09:49";0;23.62399;3
1596075019;"30/07/2020 02:10:19";0;23.35392;3
1596075049;"30/07/2020 02:10:49";0;23.12523;3
1596075079;"30/07/2020 02:11:19";0;23.17968;3
1596075109;"30/07/2020 02:11:49";0;23.14483;3
1596075139;"30/07/2020 02:12:19";0;23.91149;3
1596075169;"30/07/2020 02:12:49";0;26.32035;3
1596075199;"30/07/2020 02:13:19";0;27.14364;3
1596075229;"30/07/2020 02:13:49";0;27.34184;3
1596075259;"30/07/2020 02:14:19";0;27.11315;3
1596075289;"30/07/2020 02:14:49";0;26.10255;3
1596075319;"30/07/2020 02:15:19";0;26.00019;3
1596075349;"30/07/2020 02:15:49";0;25.59726;3
1596075379;"30/07/2020 02:16:19";0;25.29452;3
1596075409;"30/07/2020 02:16:49";0;24.91772;3
1596075439;"30/07/2020 02:17:19";0;25.20086;3
1596075469;"30/07/2020 02:17:49";0;47.13333;3
1596075499;"30/07/2020 02:18:19";0;56.86245;3
1596075529;"30/07/2020 02:18:49";0;43.13016;3
1596075559;"30/07/2020 02:19:19";0;35.88831;3
1596075589;"30/07/2020 02:19:49";0;32.44925;3
1596075619;"30/07/2020 02:20:19";0;30.34094;3
1596075649;"30/07/2020 02:20:49";0;29.00365;3
1596075679;"30/07/2020 02:21:19";0;28.04098;3
1596075709;"30/07/2020 02:21:49";0;27.0391;3
1596075739;"30/07/2020 02:22:19";0;24.88506;3
1596075769;"30/07/2020 02:22:49";0;24.02692;3
1596075799;"30/07/2020 02:23:19";0;23.41273;3
1596075829;"30/07/2020 02:23:49";0;23.99643;3
1596075859;"30/07/2020 02:24:19";0;25.60815;3
1596075889;"30/07/2020 02:24:49";0;27.43332;3
1596075919;"30/07/2020 02:25:19";0;28.49182;3
1596075949;"30/07/2020 02:25:49";0;28.70744;3
1596075979;"30/07/2020 02:26:19";0;28.77496;3
1596076009;"30/07/2020 02:26:49";0;28.86644;3
1596076039;"30/07/2020 02:27:19";0;28.89475;3
1596076069;"30/07/2020 02:27:49";0;28.75318;3
1596076099;"30/07/2020 02:28:19";0;28.60508;3
1596076129;"30/07/2020 02:28:49";0;28.0083;3
1596076159;"30/07/2020 02:29:19";0;27.94079;3
1596076189;"30/07/2020 02:29:49";0;27.91901;3
1596076219;"30/07/2020 02:30:19";0;27.91683;3
1596076249;"30/07/2020 02:30:49";0;27.73824;3
1596076279;"30/07/2020 02:31:19";0;27.37015;3
1596076309;"30/07/2020 02:31:49";0;23.16879;3
1596076339;"30/07/2020 02:32:19";0;21.48955;3
1596076369;"30/07/2020 02:32:49";0;20.90803;3
1596076399;"30/07/2020 02:33:19";0;20.61617;3
1596076429;"30/07/2020 02:33:49";0;20.46807;3
1596076459;"30/07/2020 02:34:19";0;20.44411;3
1596076489;"30/07/2020 02:34:49";0;20.34828;3
1596076519;"30/07/2020 02:35:19";0;21.6137;3
1596076549;"30/07/2020 02:35:49";0;22.18216;3
1596076579;"30/07/2020 02:36:19";0;22.39342;3
1596076609;"30/07/2020 02:36:49";0;22.44569;3
1596076639;"30/07/2020 02:37:19";0;22.38253;3
1596076669;"30/07/2020 02:37:49";0;22.36729;3
1596076699;"30/07/2020 02:38:19";0;22.40431;3
1596076729;"30/07/2020 02:38:49";0;22.29759;3
1596076759;"30/07/2020 02:39:19";0;22.50668;3
1596076789;"30/07/2020 02:39:49";0;24.17067;3
1596076819;"30/07/2020 02:40:19";0;24.59756;3
1596076849;"30/07/2020 02:40:49";0;24.811;3
1596076879;"30/07/2020 02:41:19";0;24.81971;3
1596076909;"30/07/2020 02:41:49";0;24.96128;3
1596076940;"30/07/2020 02:42:20";0;26.97811;3
1596076969;"30/07/2020 02:42:49";0;27.85149;3
1596076999;"30/07/2020 02:43:19";0;28.13898;3
1596077029;"30/07/2020 02:43:49";0;28.10414;3
1596077059;"30/07/2020 02:44:19";0;27.77744;3
1596077089;"30/07/2020 02:44:49";0;27.71645;3
1596077119;"30/07/2020 02:45:19";0;27.29828;3
1596077149;"30/07/2020 02:45:49";0;26.72982;3
1596077179;"30/07/2020 02:46:19";0;27.15671;3
1596077209;"30/07/2020 02:46:49";0;27.15671;3
1596077239;"30/07/2020 02:47:19";0;27.10008;3
1596077269;"30/07/2020 02:47:49";0;27.16324;3
1596077299;"30/07/2020 02:48:19";0;27.37451;3
1596077329;"30/07/2020 02:48:49";0;27.45727;3
1596077359;"30/07/2020 02:49:19";0;27.53132;3
1596077389;"30/07/2020 02:49:49";0;27.49212;3
1596077419;"30/07/2020 02:50:19";0;27.55964;3
1596077449;"30/07/2020 02:50:49";0;27.48123;3
1596077479;"30/07/2020 02:51:19";0;27.30046;3
1596077509;"30/07/2020 02:51:49";0;27.52697;3
1596077539;"30/07/2020 02:52:19";0;27.39629;3
1596077569;"30/07/2020 02:52:49";0;27.67725;3
1596077599;"30/07/2020 02:53:19";0;29.46539;3
1596077629;"30/07/2020 02:53:49";0;50.99057;3
1596077659;"30/07/2020 02:54:19";0;60.3821;3
1596077689;"30/07/2020 02:54:49";0;47.32281;3
1596077719;"30/07/2020 02:55:19";0;40.07225;3
1596077749;"30/07/2020 02:55:49";0;36.67457;3
1596077779;"30/07/2020 02:56:19";0;34.4443;3
1596077809;"30/07/2020 02:56:49";0;32.85218;3
1596077839;"30/07/2020 02:57:19";0;32.10948;3
1596077869;"30/07/2020 02:57:49";0;31.4735;3
1596077899;"30/07/2020 02:58:19";0;30.9595;3
1596077929;"30/07/2020 02:58:49";0;30.60012;3
1596077959;"30/07/2020 02:59:19";0;30.50865;3
1596077989;"30/07/2020 02:59:49";0;30.11443;3
1596078019;"30/07/2020 03:00:19";0;29.93366;3
1596078049;"30/07/2020 03:00:49";0;29.89445;3
1596078079;"30/07/2020 03:01:19";0;27.23076;3
1596078109;"30/07/2020 03:01:49";0;25.80199;3
1596078139;"30/07/2020 03:02:19";0;25.15295;3
1596078169;"30/07/2020 03:02:49";0;24.97435;3
1596078199;"30/07/2020 03:03:19";0;24.87199;3
1596078229;"30/07/2020 03:03:49";0;24.93297;3
1596078259;"30/07/2020 03:04:19";0;24.8611;3
1596078289;"30/07/2020 03:04:49";0;24.64547;3
1596078319;"30/07/2020 03:05:19";0;24.48212;3
1596078349;"30/07/2020 03:05:49";0;24.16196;3
1596078379;"30/07/2020 03:06:19";0;24.0683;3
1596078409;"30/07/2020 03:06:49";0;23.81783;3
1596078439;"30/07/2020 03:07:19";0;23.93109;3
1596078469;"30/07/2020 03:07:49";0;23.94633;3
1596078499;"30/07/2020 03:08:19";0;24.0095;3
1596078529;"30/07/2020 03:08:49";0;24.05959;3
1596078559;"30/07/2020 03:09:19";0;25.83684;3
1596078589;"30/07/2020 03:09:49";0;26.8409;3
1596078619;"30/07/2020 03:10:19";0;27.2068;3
1596078649;"30/07/2020 03:10:49";0;27.21552;3
1596078679;"30/07/2020 03:11:19";0;27.21334;3
1596078709;"30/07/2020 03:11:49";0;27.21334;3
1596078739;"30/07/2020 03:12:19";0;26.90624;3
1596078769;"30/07/2020 03:12:49";0;26.85397;3
1596078799;"30/07/2020 03:13:19";0;26.89753;3
1596078829;"30/07/2020 03:13:49";0;26.10038;3
1596078859;"30/07/2020 03:14:19";0;26.12434;3
1596078889;"30/07/2020 03:14:49";0;24.6324;3
1596078919;"30/07/2020 03:15:19";0;23.70458;3
1596078949;"30/07/2020 03:15:49";0;23.38659;3
1596078979;"30/07/2020 03:16:19";0;23.33867;3
1596079009;"30/07/2020 03:16:49";0;23.17097;3
1596079039;"30/07/2020 03:17:19";0;23.26462;3
1596079069;"30/07/2020 03:17:49";0;23.25809;3
1596079099;"30/07/2020 03:18:19";0;23.26027;3
1596079129;"30/07/2020 03:18:49";0;23.24937;3
1596079159;"30/07/2020 03:19:19";0;23.25155;3
1596079189;"30/07/2020 03:19:49";0;23.26244;3
1596079219;"30/07/2020 03:20:19";0;23.32561;3
1596079249;"30/07/2020 03:20:49";0;23.25155;3
1596079279;"30/07/2020 03:21:19";0;23.13612;3
1596079309;"30/07/2020 03:21:49";0;23.44757;3
1596079339;"30/07/2020 03:22:19";0;23.60875;3
1596079369;"30/07/2020 03:22:49";0;22.39124;3
1596079399;"30/07/2020 03:23:19";0;22.32155;3
1596079429;"30/07/2020 03:23:49";0;32.74546;3
1596079459;"30/07/2020 03:24:19";0;52.44983;3
1596079489;"30/07/2020 03:24:49";0;47.93483;3
1596079519;"30/07/2020 03:25:19";0;35.79466;3
1596079549;"30/07/2020 03:25:49";0;30.58924;3
1596079579;"30/07/2020 03:26:19";0;27.65765;3
1596079609;"30/07/2020 03:26:49";0;25.76932;3
1596079639;"30/07/2020 03:27:19";0;24.49084;3
1596079669;"30/07/2020 03:27:49";0;23.80259;3
1596079699;"30/07/2020 03:28:19";0;23.30383;3
1596079729;"30/07/2020 03:28:49";0;22.83556;3
1596079759;"30/07/2020 03:29:19";0;22.58727;3
1596079789;"30/07/2020 03:29:49";0;22.46094;3
1596079819;"30/07/2020 03:30:19";0;22.27145;3
1596079849;"30/07/2020 03:30:49";0;22.06019;3
1596079879;"30/07/2020 03:31:19";0;21.8119;3
1596079909;"30/07/2020 03:31:49";0;21.71389;3
1596079939;"30/07/2020 03:32:19";0;21.6834;3
1596079969;"30/07/2020 03:32:49";0;21.58974;3
1596079999;"30/07/2020 03:33:19";0;21.48955;3
1596080029;"30/07/2020 03:33:49";0;22.10157;3
1596080059;"30/07/2020 03:34:19";0;24.14236;3
1596080089;"30/07/2020 03:34:49";0;24.89159;3
1596080119;"30/07/2020 03:35:19";0;25.15077;3
1596080149;"30/07/2020 03:35:49";0;25.17255;3
1596080179;"30/07/2020 03:36:19";0;25.05058;3
1596080209;"30/07/2020 03:36:49";0;25.19651;3
1596080239;"30/07/2020 03:37:19";0;25.47529;3
1596080269;"30/07/2020 03:37:49";0;25.78675;3
1596080299;"30/07/2020 03:38:19";0;26.06771;3
1596080329;"30/07/2020 03:38:49";0;26.14611;3
1596080359;"30/07/2020 03:39:19";0;26.26155;3
1596080389;"30/07/2020 03:39:49";0;26.15701;3
1596080419;"30/07/2020 03:40:19";0;26.01979;3
1596080449;"30/07/2020 03:40:49";0;26.00673;3
1596080479;"30/07/2020 03:41:19";0;25.94356;3
1596080509;"30/07/2020 03:41:49";0;26.05246;3
1596080539;"30/07/2020 03:42:19";0;25.81724;3
1596080569;"30/07/2020 03:42:49";0;25.91089;3
1596080599;"30/07/2020 03:43:19";0;25.86951;3
1596080629;"30/07/2020 03:43:49";0;25.82377;3
1596080659;"30/07/2020 03:44:19";0;25.71705;3
1596080689;"30/07/2020 03:44:49";0;24.66072;3
1596080719;"30/07/2020 03:45:19";0;23.63053;3
1596080749;"30/07/2020 03:45:49";0;23.16879;3
1596080779;"30/07/2020 03:46:19";0;22.98366;3
1596080809;"30/07/2020 03:46:49";0;22.88783;3
1596080839;"30/07/2020 03:47:19";0;22.89001;3
1596080869;"30/07/2020 03:47:49";0;22.89001;3
1596080899;"30/07/2020 03:48:19";0;22.87476;3
1596080929;"30/07/2020 03:48:49";0;22.79853;3
1596080959;"30/07/2020 03:49:19";0;22.8312;3
1596080989;"30/07/2020 03:49:49";0;22.87912;3
1596081020;"30/07/2020 03:50:20";0;22.82031;3
1596081049;"30/07/2020 03:50:49";0;22.72666;3
1596081079;"30/07/2020 03:51:19";0;22.62429;3
1596081109;"30/07/2020 03:51:49";0;22.49361;3
1596081139;"30/07/2020 03:52:19";0;22.48272;3
1596081169;"30/07/2020 03:52:49";0;21.7226;3
1596081199;"30/07/2020 03:53:19";0;19.74497;3
1596081229;"30/07/2020 03:53:49";0;18.93694;3
1596081259;"30/07/2020 03:54:19";0;18.61024;3
1596081289;"30/07/2020 03:54:49";0;18.34888;3
1596081319;"30/07/2020 03:55:19";0;18.37719;3
1596081349;"30/07/2020 03:55:49";0;18.29007;3
1596081379;"30/07/2020 03:56:19";0;18.5449;3
1596081409;"30/07/2020 03:56:49";0;21.81625;3
1596081439;"30/07/2020 03:57:19";0;22.78546;3
1596081469;"30/07/2020 03:57:49";0;23.09474;3
1596081499;"30/07/2020 03:58:19";0;23.1579;3
1596081529;"30/07/2020 03:58:49";0;23.20799;3
1596081559;"30/07/2020 03:59:19";0;23.26027;3
1596081589;"30/07/2020 03:59:49";0;23.26027;3
1596081619;"30/07/2020 04:00:19";0;23.21671;3
1596081649;"30/07/2020 04:00:49";0;23.26027;3
1596081679;"30/07/2020 04:01:19";0;23.1775;3
1596081709;"30/07/2020 04:01:49";0;23.14483;3
1596081739;"30/07/2020 04:02:19";0;23.1579;3
1596081769;"30/07/2020 04:02:49";0;23.13176;3
1596081799;"30/07/2020 04:03:19";0;23.07078;3
1596081829;"30/07/2020 04:03:49";0;23.14701;3
1596081859;"30/07/2020 04:04:19";0;23.02069;3
1596081889;"30/07/2020 04:04:49";0;23.09909;3
1596081919;"30/07/2020 04:05:19";0;23.20581;3
1596081949;"30/07/2020 04:05:49";0;22.96624;3
1596081979;"30/07/2020 04:06:19";0;23.16661;3
1596082009;"30/07/2020 04:06:49";0;23.0294;3
1596082039;"30/07/2020 04:07:19";0;22.95099;3
1596082069;"30/07/2020 04:07:49";0;23.48024;3
1596082099;"30/07/2020 04:08:19";0;25.18126;3
1596082129;"30/07/2020 04:08:49";0;47.50576;3
1596082159;"30/07/2020 04:09:19";0;52.81572;3
1596082189;"30/07/2020 04:09:49";0;39.11175;3
1596082219;"30/07/2020 04:10:19";0;32.75199;3
1596082249;"30/07/2020 04:10:49";0;29.54815;3
1596082279;"30/07/2020 04:11:19";0;27.55964;3
1596082309;"30/07/2020 04:11:49";0;26.35521;3
1596082339;"30/07/2020 04:12:19";0;25.40778;3
1596082369;"30/07/2020 04:12:49";0;24.95475;3
1596082399;"30/07/2020 04:13:19";0;24.60409;3
1596082429;"30/07/2020 04:13:49";0;24.21205;3
1596082459;"30/07/2020 04:14:19";0;23.94416;3
1596082489;"30/07/2020 04:14:49";0;23.97465;3
1596082519;"30/07/2020 04:15:19";0;23.68497;3
1596082549;"30/07/2020 04:15:49";0;20.97554;3
1596082579;"30/07/2020 04:16:19";0;21.78358;3
1596082609;"30/07/2020 04:16:49";0;23.21017;3
1596082639;"30/07/2020 04:17:19";0;23.85268;3
1596082669;"30/07/2020 04:17:49";0;23.83526;3
1596082699;"30/07/2020 04:18:19";0;23.76339;3
1596082729;"30/07/2020 04:18:49";0;23.75903;3
1596082759;"30/07/2020 04:19:19";0;22.89654;3
1596082789;"30/07/2020 04:19:49";0;20.00633;3
1596082819;"30/07/2020 04:20:19";0;19.41827;3
1596082849;"30/07/2020 04:20:49";0;20.22849;3
1596082879;"30/07/2020 04:21:19";0;20.40709;3
1596082909;"30/07/2020 04:21:49";0;20.42233;3
1596082939;"30/07/2020 04:22:19";0;20.37877;3
1596082969;"30/07/2020 04:22:49";0;20.3657;3
1596082999;"30/07/2020 04:23:19";0;20.36135;3
1596083029;"30/07/2020 04:23:49";0;20.37442;3
1596083059;"30/07/2020 04:24:19";0;20.24591;3
1596083089;"30/07/2020 04:24:49";0;20.26987;3
1596083119;"30/07/2020 04:25:19";0;20.18929;3
1596083149;"30/07/2020 04:25:49";0;20.08474;3
1596083179;"30/07/2020 04:26:19";0;20.01505;3
1596083209;"30/07/2020 04:26:49";0;19.86041;3
1596083239;"30/07/2020 04:27:19";0;21.38501;3
1596083269;"30/07/2020 04:27:49";0;23.38441;3
1596083299;"30/07/2020 04:28:19";0;24.01168;3
1596083329;"30/07/2020 04:28:49";0;24.24254;3
1596083359;"30/07/2020 04:29:19";0;24.14018;3
1596083389;"30/07/2020 04:29:49";0;24.6237;3
1596083419;"30/07/2020 04:30:19";0;24.53004;3
1596083449;"30/07/2020 04:30:49";0;24.4059;3
1596083479;"30/07/2020 04:31:19";0;24.39718;3
1596083509;"30/07/2020 04:31:49";0;24.07484;3
1596083539;"30/07/2020 04:32:19";0;23.59568;3
1596083569;"30/07/2020 04:32:49";0;23.58479;3
1596083599;"30/07/2020 04:33:19";0;37.41509;3
1596083629;"30/07/2020 04:33:49";0;52.20371;3
1596083659;"30/07/2020 04:34:19";0;39.03116;3
1596083689;"30/07/2020 04:34:49";0;30.79615;3
1596083719;"30/07/2020 04:35:19";0;27.30481;3
1596083749;"30/07/2020 04:35:49";0;25.3163;3
1596083779;"30/07/2020 04:36:19";0;24.2469;3
1596083809;"30/07/2020 04:36:49";0;23.65231;3
1596083839;"30/07/2020 04:37:19";0;23.44757;3
1596083869;"30/07/2020 04:37:49";0;23.45629;3
1596083899;"30/07/2020 04:38:19";0;23.35392;3
1596083929;"30/07/2020 04:38:49";0;23.50638;3
1596083959;"30/07/2020 04:39:19";0;23.63271;3
1596083989;"30/07/2020 04:39:49";0;23.32125;3
1596084019;"30/07/2020 04:40:19";0;23.11652;3
1596084049;"30/07/2020 04:40:49";0;23.07296;3
1596084079;"30/07/2020 04:41:19";0;23.06425;3
1596084109;"30/07/2020 04:41:49";0;22.87258;3
1596084139;"30/07/2020 04:42:19";0;22.94445;3
1596084169;"30/07/2020 04:42:49";0;24.19898;3
1596084199;"30/07/2020 04:43:19";0;25.85644;3
1596084229;"30/07/2020 04:43:49";0;26.19403;3
1596084259;"30/07/2020 04:44:19";0;26.27244;3
1596084289;"30/07/2020 04:44:49";0;26.34431;3
1596084319;"30/07/2020 04:45:19";0;26.25719;3
1596084349;"30/07/2020 04:45:49";0;27.03474;3
1596084379;"30/07/2020 04:46:19";0;26.28986;3
1596084409;"30/07/2020 04:46:49";0;24.58231;3
1596084439;"30/07/2020 04:47:19";0;24.42114;3
1596084469;"30/07/2020 04:47:49";0;24.38194;3
1596084499;"30/07/2020 04:48:19";0;24.29699;3
1596084529;"30/07/2020 04:48:49";0;24.1772;3
1596084559;"30/07/2020 04:49:19";0;24.29264;3
1596084589;"30/07/2020 04:49:49";0;24.86981;3
1596084619;"30/07/2020 04:50:19";0;25.78021;3
1596084649;"30/07/2020 04:50:49";0;25.76932;3
1596084679;"30/07/2020 04:51:19";0;24.77615;3
1596084709;"30/07/2020 04:51:49";0;23.76121;3
1596084739;"30/07/2020 04:52:19";0;23.31689;3
1596084769;"30/07/2020 04:52:49";0;23.05553;3
1596084799;"30/07/2020 04:53:19";0;22.97059;3
1596084829;"30/07/2020 04:53:49";0;23.049;3
1596084859;"30/07/2020 04:54:19";0;23.26244;3
1596084889;"30/07/2020 04:54:49";0;23.17315;3
1596084919;"30/07/2020 04:55:19";0;23.38005;3
1596084949;"30/07/2020 04:55:49";0;23.29293;3
1596084979;"30/07/2020 04:56:19";0;22.51321;3
1596085009;"30/07/2020 04:56:49";0;21.42857;3
1596085039;"30/07/2020 04:57:19";0;21.23908;3
1596085069;"30/07/2020 04:57:49";0;21.2173;3
1596085099;"30/07/2020 04:58:19";0;21.20859;3
1596085129;"30/07/2020 04:58:49";0;21.04524;3
1596085159;"30/07/2020 04:59:19";0;21.01039;3
1596085189;"30/07/2020 04:59:49";0;21.0692;3
1596085219;"30/07/2020 05:00:19";0;21.02346;3
1596085249;"30/07/2020 05:00:49";0;20.91674;3
1596085279;"30/07/2020 05:01:19";0;22.79417;3
1596085309;"30/07/2020 05:01:49";0;35.2654;3
1596085339;"30/07/2020 05:02:19";0;54.24231;3
1596085369;"30/07/2020 05:02:49";0;47.19431;3
1596085399;"30/07/2020 05:03:19";0;36.6811;3
1596085429;"30/07/2020 05:03:49";0;31.95484;3
1596085459;"30/07/2020 05:04:19";0;29.73111;3
1596085489;"30/07/2020 05:04:49";0;28.06276;3
1596085519;"30/07/2020 05:05:19";0;27.23729;3
1596085549;"30/07/2020 05:05:49";0;26.73418;3
1596085579;"30/07/2020 05:06:19";0;26.56429;3
1596085609;"30/07/2020 05:06:49";0;26.15918;3
1596085639;"30/07/2020 05:07:19";0;25.99801;3
1596085669;"30/07/2020 05:07:49";0;26.15265;3
1596085699;"30/07/2020 05:08:19";0;26.29858;3
1596085729;"30/07/2020 05:08:49";0;25.96317;3
1596085759;"30/07/2020 05:09:19";0;25.20086;3
1596085789;"30/07/2020 05:09:49";0;24.8611;3
1596085819;"30/07/2020 05:10:19";0;24.61716;3
1596085849;"30/07/2020 05:10:49";0;24.49955;3
