"TimeInt";"TimeStr";"IsInitValue";"Value";"IQuality"
1596074419;"30/07/2020 02:00:19";0;13.76082;3
1596074449;"30/07/2020 02:00:49";0;13.73682;3
1596074479;"30/07/2020 02:01:19";0;13.66633;3
1596074509;"30/07/2020 02:01:49";0;13.62023;3
1596074539;"30/07/2020 02:02:19";0;13.59318;3
1596074569;"30/07/2020 02:02:49";0;13.57756;3
1596074599;"30/07/2020 02:03:19";0;13.57146;3
1596074629;"30/07/2020 02:03:49";0;13.57184;3
1596074659;"30/07/2020 02:04:19";0;13.57718;3
1596074689;"30/07/2020 02:04:49";0;13.58137;3
1596074719;"30/07/2020 02:05:19";0;13.59204;3
1596074749;"30/07/2020 02:05:49";0;13.59585;3
1596074779;"30/07/2020 02:06:19";0;13.5989;3
1596074809;"30/07/2020 02:06:49";0;13.60309;3
1596074839;"30/07/2020 02:07:19";0;13.61299;3
1596074869;"30/07/2020 02:07:49";0;13.64995;3
1596074899;"30/07/2020 02:08:19";0;13.68348;3
1596074929;"30/07/2020 02:08:49";0;13.72767;3
1596074959;"30/07/2020 02:09:19";0;13.76539;3
1596074989;"30/07/2020 02:09:49";0;13.78825;3
1596075019;"30/07/2020 02:10:19";0;13.80692;3
1596075049;"30/07/2020 02:10:49";0;13.82331;3
1596075079;"30/07/2020 02:11:19";0;13.83283;3
1596075109;"30/07/2020 02:11:49";0;13.84426;3
1596075139;"30/07/2020 02:12:19";0;13.84274;3
1596075169;"30/07/2020 02:12:49";0;13.80197;3
1596075199;"30/07/2020 02:13:19";0;13.76768;3
1596075229;"30/07/2020 02:13:49";0;13.75053;3
1596075259;"30/07/2020 02:14:19";0;13.74368;3
1596075289;"30/07/2020 02:14:49";0;13.76387;3
1596075319;"30/07/2020 02:15:19";0;13.77492;3
1596075349;"30/07/2020 02:15:49";0;13.79435;3
1596075379;"30/07/2020 02:16:19";0;13.80616;3
1596075409;"30/07/2020 02:16:49";0;13.80921;3
1596075439;"30/07/2020 02:17:19";0;13.7852;3
