"TimeInt";"TimeStr";"IsInitValue";"Value";"IQuality"
1596074419;"30/07/2020 02:00:19";0;28.80147;3
1596074449;"30/07/2020 02:00:49";0;28.76944;3
1596074479;"30/07/2020 02:01:19";0;28.74999;3
1596074509;"30/07/2020 02:01:49";0;28.7477;3
1596074539;"30/07/2020 02:02:19";0;28.70995;3
1596074569;"30/07/2020 02:02:49";0;28.71682;3
1596074599;"30/07/2020 02:03:19";0;28.73741;3
1596074629;"30/07/2020 02:03:49";0;28.75342;3
1596074659;"30/07/2020 02:04:19";0;28.7477;3
1596074689;"30/07/2020 02:04:49";0;28.758;3
1596074719;"30/07/2020 02:05:19";0;28.74313;3
1596074749;"30/07/2020 02:05:49";0;28.758;3
1596074779;"30/07/2020 02:06:19";0;28.74313;3
1596074809;"30/07/2020 02:06:49";0;28.75914;3
1596074839;"30/07/2020 02:07:19";0;28.76486;3
1596074869;"30/07/2020 02:07:49";0;28.78202;3
1596074899;"30/07/2020 02:08:19";0;28.7683;3
1596074929;"30/07/2020 02:08:49";0;28.80262;3
1596074959;"30/07/2020 02:09:19";0;28.78545;3
1596074989;"30/07/2020 02:09:49";0;28.80147;3
1596075019;"30/07/2020 02:10:19";0;28.76486;3
1596075049;"30/07/2020 02:10:49";0;28.7763;3
1596075079;"30/07/2020 02:11:19";0;28.77516;3
1596075109;"30/07/2020 02:11:49";0;28.75571;3
1596075139;"30/07/2020 02:12:19";0;28.76029;3
1596075169;"30/07/2020 02:12:49";0;28.76601;3
1596075199;"30/07/2020 02:13:19";0;28.7397;3
1596075229;"30/07/2020 02:13:49";0;28.71109;3
1596075259;"30/07/2020 02:14:19";0;28.73283;3
1596075289;"30/07/2020 02:14:49";0;28.72826;3
1596075319;"30/07/2020 02:15:19";0;28.76944;3
1596075349;"30/07/2020 02:15:49";0;28.76029;3
1596075379;"30/07/2020 02:16:19";0;28.77173;3
1596075409;"30/07/2020 02:16:49";0;28.80262;3
1596075439;"30/07/2020 02:17:19";0;28.75457;3
1596075469;"30/07/2020 02:17:49";0;28.7477;3
1596075499;"30/07/2020 02:18:19";0;28.66076;3
1596075529;"30/07/2020 02:18:49";0;28.66991;3
1596075559;"30/07/2020 02:19:19";0;28.74999;3
1596075589;"30/07/2020 02:19:49";0;28.82206;3
1596075619;"30/07/2020 02:20:19";0;28.84723;3
1596075649;"30/07/2020 02:20:49";0;28.86096;3
1596075679;"30/07/2020 02:21:19";0;28.89071;3
1596075709;"30/07/2020 02:21:49";0;28.9193;3
1596075739;"30/07/2020 02:22:19";0;28.93189;3
1596075769;"30/07/2020 02:22:49";0;28.93532;3
1596075799;"30/07/2020 02:23:19";0;28.93761;3
1596075829;"30/07/2020 02:23:49";0;28.91816;3
1596075859;"30/07/2020 02:24:19";0;28.90901;3
1596075889;"30/07/2020 02:24:49";0;28.87698;3
1596075919;"30/07/2020 02:25:19";0;28.85638;3
1596075949;"30/07/2020 02:25:49";0;28.84266;3
1596075979;"30/07/2020 02:26:19";0;28.82435;3
1596076009;"30/07/2020 02:26:49";0;28.83236;3
1596076039;"30/07/2020 02:27:19";0;28.81177;3
1596076069;"30/07/2020 02:27:49";0;28.83121;3
1596076099;"30/07/2020 02:28:19";0;28.81062;3
1596076129;"30/07/2020 02:28:49";0;28.83808;3
1596076159;"30/07/2020 02:29:19";0;28.81863;3
1596076189;"30/07/2020 02:29:49";0;28.84037;3
1596076219;"30/07/2020 02:30:19";0;28.84723;3
1596076249;"30/07/2020 02:30:49";0;28.84151;3
1596076279;"30/07/2020 02:31:19";0;28.84037;3
1596076309;"30/07/2020 02:31:49";0;28.86096;3
1596076339;"30/07/2020 02:32:19";0;28.87698;3
1596076369;"30/07/2020 02:32:49";0;28.88155;3
1596076399;"30/07/2020 02:33:19";0;28.87469;3
1596076429;"30/07/2020 02:33:49";0;28.85981;3
1596076459;"30/07/2020 02:34:19";0;28.88041;3
1596076489;"30/07/2020 02:34:49";0;28.83922;3
1596076519;"30/07/2020 02:35:19";0;28.84723;3
1596076549;"30/07/2020 02:35:49";0;28.82092;3
1596076579;"30/07/2020 02:36:19";0;28.81291;3
1596076609;"30/07/2020 02:36:49";0;28.80262;3
1596076639;"30/07/2020 02:37:19";0;28.80833;3
1596076669;"30/07/2020 02:37:49";0;28.79918;3
1596076699;"30/07/2020 02:38:19";0;28.7866;3
1596076729;"30/07/2020 02:38:49";0;28.79689;3
1596076759;"30/07/2020 02:39:19";0;28.79575;3
1596076789;"30/07/2020 02:39:49";0;28.75914;3
1596076819;"30/07/2020 02:40:19";0;28.76029;3
1596076849;"30/07/2020 02:40:49";0;28.74999;3
1596076879;"30/07/2020 02:41:19";0;28.76944;3
1596076909;"30/07/2020 02:41:49";0;28.77058;3
1596076940;"30/07/2020 02:42:20";0;28.77173;3
1596076969;"30/07/2020 02:42:49";0;28.77173;3
1596076999;"30/07/2020 02:43:19";0;28.73626;3
1596077029;"30/07/2020 02:43:49";0;28.73169;3
1596077059;"30/07/2020 02:44:19";0;28.73283;3
1596077089;"30/07/2020 02:44:49";0;28.76029;3
1596077119;"30/07/2020 02:45:19";0;28.73397;3
1596077149;"30/07/2020 02:45:49";0;28.78545;3
1596077179;"30/07/2020 02:46:19";0;28.78202;3
1596077209;"30/07/2020 02:46:49";0;28.79346;3
1596077239;"30/07/2020 02:47:19";0;28.80605;3
1596077269;"30/07/2020 02:47:49";0;28.79461;3
1596077299;"30/07/2020 02:48:19";0;28.7763;3
1596077329;"30/07/2020 02:48:49";0;28.76944;3
1596077359;"30/07/2020 02:49:19";0;28.79003;3
1596077389;"30/07/2020 02:49:49";0;28.76029;3
1596077419;"30/07/2020 02:50:19";0;28.77974;3
1596077449;"30/07/2020 02:50:49";0;28.79003;3
1596077479;"30/07/2020 02:51:19";0;28.78545;3
1596077509;"30/07/2020 02:51:49";0;28.77974;3
1596077539;"30/07/2020 02:52:19";0;28.78889;3
1596077569;"30/07/2020 02:52:49";0;28.78431;3
1596077599;"30/07/2020 02:53:19";0;28.79118;3
1596077629;"30/07/2020 02:53:49";0;28.7477;3
1596077659;"30/07/2020 02:54:19";0;28.67105;3
1596077689;"30/07/2020 02:54:49";0;28.67334;3
1596077719;"30/07/2020 02:55:19";0;28.74541;3
1596077749;"30/07/2020 02:55:49";0;28.78774;3
1596077779;"30/07/2020 02:56:19";0;28.82664;3
1596077809;"30/07/2020 02:56:49";0;28.83808;3
1596077839;"30/07/2020 02:57:19";0;28.85524;3
1596077869;"30/07/2020 02:57:49";0;28.88956;3
1596077899;"30/07/2020 02:58:19";0;28.90214;3
